date,output,capital,labor,output_growth,capital_contribution,labor_contribution,tfp_contribution,residual_gap,explained_growth,output_growth_pct,capital_contribution_pct,labor_contribution_pct,tfp_contribution_pct,tfp_index
1970,782499378986.242,1189443293823.5618,95375651.0,,,,,0.0,,,,,,1.0
1971,871257673141.854,1332937837859.3215,97739273.0,0.10744464029923861,0.045560011800138515,0.014688083066317859,0.04719654543278224,0.0,0.10744464029923861,10.744464029923861,4.556001180013851,1.4688083066317859,4.719654543278224,1.048328032919398
1972,975288872304.538,1502761724096.9814,100146797.0,0.1127959373170846,0.04796766312909711,0.014600175516101642,0.05022809867188584,0.0,0.1127959373170846,11.27959373170846,4.7967663129097105,1.4600175516101643,5.022809867188584,1.102328371492072
1973,1111524261424.92,1722218470406.6885,102600976.0,0.1307538544062723,0.05452348137797856,0.01452621947313517,0.061704153555158577,0.0,0.1307538544062723,13.07538544062723,5.4523481377978555,1.452621947313517,6.170415355515858,1.1724889507890552
1974,1202157268165.65,1979271495381.471,105089675.0,0.07838538446786814,0.05564623090576078,0.014379952754057256,0.008359200808050103,0.0,0.07838538446786814,7.8385384467868136,5.564623090576077,1.4379952754057255,0.8359200808050103,1.1823311003150911
1975,1264268515650.33,2258197328377.127,107619565.0,0.05037604013706698,0.052735202923929594,0.01427305726083432,-0.016632220047696933,0.0,0.05037604013706698,5.037604013706698,5.273520292392959,1.427305726083432,-1.6632220047696933,1.162828940960971
1976,1393946174968.11,2525679929176.9717,110213349.0,0.09764499323023657,0.04477738106917713,0.01428933697826551,0.03857827518279393,0.0,0.09764499323023657,9.764499323023657,4.4777381069177125,1.428933697826551,3.8578275182793926,1.2085654208263197
1977,1462728052357.32,2779713063976.075,112875292.0,0.04816452154150852,0.03833496104729477,0.014319344989400662,-0.004489784495186914,0.0,0.04816452154150852,4.816452154150852,3.8334961047294773,1.4319344989400662,-0.4489784495186914,1.2031513855590226
1978,1535424140031.4,3033028872477.4443,115600942.0,0.048503434392543454,0.034885616051163026,0.01431630379665023,-0.0006984854552698032,0.0,0.048503434392543454,4.850343439254345,3.4885616051163026,1.4316303796650232,-0.06984854552698032,1.2023112952453099
1979,1639212057905.15,3274780390497.0728,118380821.0,0.0654090182890954,0.030675624958271898,0.014257571722589546,0.020475821608233954,0.0,0.0654090182890954,6.54090182890954,3.0675624958271897,1.4257571722589546,2.0475821608233953,1.2271833760072064
1980,1790019567232.42,3570422599601.3516,121207461.0,0.08801087732270929,0.03457326140886465,0.014158143968879244,0.039279471944965394,0.0,0.08801087732270929,8.801087732270929,3.4573261408864653,1.4158143968879244,3.9279471944965394,1.276345705375604
1981,1713943735625.05,3792093379005.194,124063109.0,-0.04342955792732894,0.024093698132173814,0.013972049123479024,-0.08149530518298177,0.0,-0.043429557927328936,-4.342955792732894,2.4093698132173813,1.3972049123479025,-8.149530518298178,1.1764551089547282
1982,1728169468630.73,3966597375327.75,126923155.0,0.008265744417027321,0.017996173414947237,0.013674866939299335,-0.023405295937219253,0.0,0.008265744417027321,0.8265744417027321,1.7996173414947236,1.3674866939299335,-2.3405295937219255,1.149239565295598
1983,1677534103199.85,4050245216917.5684,129790077.0,-0.02973781826395694,0.008347513512221382,0.013401917028672727,-0.051487248804851046,0.0,-0.02973781826395694,-2.973781826395694,0.8347513512221383,1.3401917028672727,-5.148724880485105,1.0915658524791934
1984,1768120944772.64,4135563982405.172,132658864.0,0.05259245011917102,0.00833851394466052,0.013117528710495917,0.03113640746401458,0.0,0.05259245011917102,5.259245011917102,0.833851394466052,1.3117528710495918,3.113640746401458,1.126087949695217
1985,1906918438937.3,4304559088484.869,135515595.0,0.07557118684707831,0.016020401051966362,0.012783495079027318,0.046767290716084625,0.0,0.07557118684707831,7.557118684707831,1.6020401051966362,1.2783495079027318,4.676729071608462,1.1800029346438137
1986,2049746630013.7,4500930771440.943,138336370.0,0.07222763399687793,0.017843799728824196,0.012360874308483715,0.04202295995957002,0.0,0.07222763399687793,7.222763399687793,1.7843799728824197,1.2360874308483716,4.202295995957002,1.2306468007261493
1987,2122102686053.18,4681419734211.413,141104944.0,0.03469123978992883,0.015726884979751787,0.011889428457289597,0.0070749263528874454,0.0,0.03469123978992883,3.469123978992883,1.5726884979751787,1.1889428457289597,0.7074926352887445,1.2393844087278463
1988,2120829424441.55,4832880785863.908,143826357.0,-0.0006001800720305539,0.01273651997132106,0.011461692334700046,-0.024798392378051662,0.0,-0.0006001800720305539,-0.06001800720305539,1.273651997132106,1.1461692334700047,-2.4798392378051664,1.2090276232604427
1989,2187847634253.91,4981386811091.843,146502972.0,0.0311109950250561,0.012106241011299802,0.0110633982951434,0.007941355718612897,0.0,0.0311109950250561,3.11109950250561,1.21062410112998,1.10633982951434,0.7941355718612897,1.218667166551635
1990,2092676262163.86,5079921836723.818,149143223.0,-0.04447449010183391,0.00783501864327434,0.010716814505175165,-0.06302632325028341,0.0,-0.04447449010183391,-4.447449010183391,0.783501864327434,1.0716814505175165,-6.302632325028341,1.1442294623979359
1991,2114276648599.51,5204660323187.627,151724256.0,0.010268988843343152,0.009703426089161839,0.010294617391199523,-0.00972905463701821,0.0,0.010268988843343152,1.0268988843343152,0.9703426089161838,1.0294617391199523,-0.972905463701821,1.1331511694835603
1992,2102773460273.02,5290686936228.245,154275079.0,-0.005455575134543977,0.006557461134467247,0.010003480906922135,-0.022016517175933357,0.0,-0.005455575134543977,-0.5455575134543977,0.6557461134467247,1.0003480906922135,-2.201651717593336,1.1084757573438433
1993,2206328534691.26,5421865252116.833,156794577.0,0.048072668780097416,0.009796722258280967,0.009719571347661571,0.02855637517415488,0.0,0.048072668780097416,4.807266878009742,0.9796722258280967,0.9719571347661571,2.855637517415488,1.1405861024261752
1994,2335462083639.27,5598055410710.991,159265006.0,0.05687992850796064,0.012791756257639975,0.009379798411990947,0.034708373838329726,0.0,0.05687992850796065,5.687992850796064,1.2791756257639975,0.9379798411990946,3.4708373838329725,1.1808690247355063
1995,2434107182444.27,5801634937875.441,161735073.0,0.04137026307659042,0.014288189728566181,0.009234075312421907,0.01784799803560233,0.0,0.04137026307659042,4.137026307659042,1.428818972856618,0.9234075312421908,1.784799803560233,1.202134380275825
1996,2487873300948.28,6025500773267.062,164202549.0,0.02184822041299128,0.015144331258845511,0.009084645549782522,-0.002380756395636752,0.0,0.02184822041299128,2.184822041299128,1.5144331258845511,0.9084645549782522,-0.2380756395636752,1.1992757953089948
1997,2572332767825.27,6289683852556.346,166661659.0,0.03338492944077842,0.017164086286685178,0.008919025592000196,0.007301817562093048,0.0,0.03338492944077842,3.338492944077842,1.7164086286685178,0.8919025592000196,0.7301817562093048,1.2080647369475512
1998,2581029770944.52,6535270177536.816,169159655.0,0.0033752763600602975,0.015321152738010824,0.008926325886165641,-0.020872202264116166,0.0,0.0033752763600602975,0.33752763600602975,1.5321152738010824,0.8926325886165641,-2.0872202264116164,1.1831110901042439
