,real_rate,consumption_growth
2000,0.10958694430736093,0.01834663450120022
2001,0.09096189913545039,-0.005446736265872332
2002,0.05850879264082942,0.0006105081117819822
2003,0.12870934751031582,-0.01740166082041572
2004,0.08033125996888768,0.027008896857663167
2005,0.12710438452290473,0.032182769220985286
2006,0.11766511697952176,0.04068953641457185
2007,0.07201199897782984,0.05158461965030714
2008,0.060932834126796065,0.05280299474489336
2009,0.055132610309203356,0.034020174554658666
2010,0.0367603084935475,0.05232172263555679
2011,0.04846351170511598,0.03983313093360241
2012,0.025432480716915506,0.026717932513202314
2013,0.02140388315885189,0.026284753732102928
2014,0.04180903573612671,0.014340836827521741
2015,0.024332654556526112,-0.04060510891584812
2016,0.07330186002345229,-0.04636393701922703
2017,0.06927457519828484,0.013051855921153432
2018,0.026388015537673004,0.016978883288248703
2019,0.015663462319704946,0.019015836787045437
2020,-0.01653967512745902,-0.0527791165822844
2021,-0.051258377849573766,0.024642567695603468
2022,0.06283205138211345,0.03702621124289429
2023,0.0820139007257048,0.02795478260009787
