period,period_label,series_id,series_name,value,unit,source,dataset_id,frequency,model_use,concept_note,proxy_used,aggregation,value_variable_code,value_variable_name,series_code,revision_reference
2005,2005,433,IPCA annual inflation,0.056897333458586496,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2006,2006,433,IPCA annual inflation,0.031417749683044116,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2007,2007,433,IPCA annual inflation,0.04457330433237816,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2008,2008,433,IPCA annual inflation,0.05902313417525473,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2009,2009,433,IPCA annual inflation,0.043120283296899764,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2010,2010,433,IPCA annual inflation,0.05909068347266211,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2011,2011,433,IPCA annual inflation,0.0650310904062883,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2012,2012,433,IPCA annual inflation,0.05838568997639171,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2013,2013,433,IPCA annual inflation,0.059108180800137466,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2014,2014,433,IPCA annual inflation,0.06407616596391974,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2015,2015,433,IPCA annual inflation,0.10673497995621717,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2016,2016,433,IPCA annual inflation,0.06288055054224473,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2017,2017,433,IPCA annual inflation,0.029473499083459087,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2018,2018,433,IPCA annual inflation,0.03745482121827348,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2019,2019,433,IPCA annual inflation,0.04306039984113186,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2020,2020,433,IPCA annual inflation,0.04517341500509886,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2021,2021,433,IPCA annual inflation,0.10061054893257904,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2022,2022,433,IPCA annual inflation,0.05784841959607756,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2023,2023,433,IPCA annual inflation,0.04621113930566789,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Monthly IPCA compounded within each calendar year.,,monthly compounding within calendar year,,,433,
2000,2000,selic_ipca_real_rate,Real rate from Selic and IPCA,0.10958694430736093,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2001,2001,selic_ipca_real_rate,Real rate from Selic and IPCA,0.09096189913545039,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2002,2002,selic_ipca_real_rate,Real rate from Selic and IPCA,0.05850879264082942,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2003,2003,selic_ipca_real_rate,Real rate from Selic and IPCA,0.12870934751031582,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2004,2004,selic_ipca_real_rate,Real rate from Selic and IPCA,0.08033125996888768,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2005,2005,selic_ipca_real_rate,Real rate from Selic and IPCA,0.12710438452290473,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2006,2006,selic_ipca_real_rate,Real rate from Selic and IPCA,0.11766511697952176,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2007,2007,selic_ipca_real_rate,Real rate from Selic and IPCA,0.07201199897782984,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2008,2008,selic_ipca_real_rate,Real rate from Selic and IPCA,0.060932834126796065,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2009,2009,selic_ipca_real_rate,Real rate from Selic and IPCA,0.055132610309203356,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
2010,2010,selic_ipca_real_rate,Real rate from Selic and IPCA,0.0367603084935475,annual rate,BCB SGS,BCB SGS,annual,rck_real_rate_proxy,Operational real-rate proxy used in the RCK calibration.,selic_ipca,annual Fisher transformation,,,11-433,
